run_id,model_alias,model_name,method_name,dataset_name,metric,mean,min,max
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,accuracy,0.6666666666666666,0.0,1.0
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,response_length_tokens,255.16666666666666,147.0,385.0
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,response_length_chars,1016.4,559.0,1537.0
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,total_response_length_tokens,4965.066666666667,1985.0,10266.0
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,total_response_length_chars,2789.133333333333,1175.0,7431.0
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,api_call_count,2.0,2.0,2.0
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,api_prompt_tokens,1009.8666666666667,457.0,2415.0
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,api_completion_tokens,4965.066666666667,1985.0,10266.0
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,api_total_tokens,5974.933333333333,2588.0,10842.0
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,api_reasoning_tokens,3943.1,1370.0,9538.0
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,api_estimated_reasoning_tokens,1872.4,697.0,4772.0
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,api_reasoning_content_chars,9902.933333333332,3554.0,23987.0
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,score_i,0.436305087063206,0.0,0.7381553269233543
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,efficiency_i_on_correct,0.1361440764870225,0.002698027374577228,0.34538831730838576
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,length_factor_on_correct,0.0241110499654373,1.4475891158910568e-08,0.15305573773635817
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,answer_factor_on_correct,0.36787944117144233,0.36787944117144233,0.36787944117144233
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,reflection_factor_on_correct,0.9606530659712633,0.6065306597126334,1.0
